,asin,page,stars,author,date,title,comment,verified,helpful,pics,video,comment_id,author_status
25,B01608M23I,2,5,AFRKSLGODP65OPGRYBP5L2N2DLAQ,12 December 2017,Five Stars,My daughter was very happy. Arrived on time.,Verified Purchase,0,0,0,R1AUDTVTDZ114G,none
26,B01608M23I,2,4,AG3H3PKIV6PFFI2RXX3NYWDVTPCQ,13 January 2018,Four Stars,I had to return mine has my Granddaughter  had two but she really likes it.,Verified Purchase,0,0,0,R2A33125E7LT21,none
27,B01608M23I,2,5,AHBBK5VUNMBXKH5NTON3DGGRSLQQ,2 November 2017,Five Stars,Excellent number of pieces in this set.,Verified Purchase,0,0,0,R362A6KRW9UF0M,none
28,B00IF1VVFO,3,4,AFH6BUM7OYVGBCCEZ6GJZBJXOSJQ,10 September 2015,He liked it. Needed a help with the initial set ...,bought it for my 4Y nephew. He liked it. Needed a help with the initial set up but played for ours. Some carrier for the bits would be nice addition.,Verified Purchase,1,0,0,R2VRQQW16BLZTH,none
29,B00IF1VVFO,3,5,AFVGPK25BARHFD3C3AXMP67YBQTQ,15 June 2016,Cannot fault this set,"My niece is 2 years old and this is a great introduction to playmobil. She (with supervision) enjoys playing with this set and, because the design is so good, can easily recognise each part of the playground. Hours of fun to be had. I would highly recommend this set, whether your child is just beginning to play with playmobil or whether you're looking for a new addition to their collection.",Verified Purchase,0,0,0,R27J8Q4TWLN5S9,none
30,B00IF1VVFO,3,5,AEESEJDO57ZWNP7YKFOLDQD5WZOQ,11 October 2017,Five Stars,Really good playset girls enjoyed playing with it for ages,Verified Purchase,0,0,0,RYB6FMLZDI9KX,none
31,B00IF1VVFO,3,4,AF35P57VM23Y2PMMIEWVT7ORSTHQ,6 August 2017,Great value,Would have been 5 if it didn't come with loads of small parts that I have to store separately.,Verified Purchase,0,0,0,R10N24FXUE2CS1,none
32,B00IF1VVFO,3,4,AFDHVF6LL3P3NQLSDKIMZXSZW7VQ,8 January 2018,Great fun play set,Lovely set. 3 year old loves it and 10 year old cousin does too! Some fiddly bits though.,Verified Purchase,0,0,0,R355KNNP58QZQG,none
33,B00IF1VVFO,3,5,AFSG56HTVH67QCKALATUKBNSPSHA,9 October 2017,Great variety. Reminded us all of the fairground near ...,Great variety.  Reminded us all of the fairground near us.,Verified Purchase,0,0,0,R2FS2OVY3VCUN7,none
34,B00IF1VVFO,3,5,AE7Z2DQNPECVNCRG3LUH5PLWZU7Q,18 May 2017,Lovely product,"Kids absolutely love this park, very good as expected from playmobil. They even take it in the bath!",Verified Purchase,0,0,0,R26FSIX7P74MQJ,none
35,B00IF1VVFO,3,5,AEAALKSY74KFYUPZXK4FMPPK3VEA,3 August 2017,Five Stars,great toy to help develop imagination and role play,Verified Purchase,0,0,0,R2KC98JBYXWAN5,none
36,B00IF1VVFO,3,5,AGN4EFEW4ZUQVLOZ7LAJ73A54OWA,12 February 2018,Five Stars,good,Verified Purchase,0,0,0,R5TDBV6FRW10U,none
37,B00IF1VVFO,3,5,AHJFQB3QIUMXNJPNSVCNN2UYMZQA,27 January 2018,Five Stars,Loads for the price!,Verified Purchase,0,0,0,R1JCHXF5M43LJO,none
38,B01608M23I,1,5,AE2YUSPCRHKX3BZF5STO2TFB65ZQ,6 April 2018,"Great present, and very well received.","This was purchased as a birthday present for my ten year old niece. She is a huge fan of Playmobil, so was so happy when she opened her present to reveal a Playmobil set she didn't yet have.",Verified Purchase,0,0,0,R2GRCW2BES041U,TOP 1000 REVIEWER
39,B01608M23I,1,4,AFXNHRB3XXHHZRV6RQBKIKSYTZLQ,18 July 2017,Aarrrgghhhhh!,"Very cross!!!! This arrived with no outer box, so daughter saw what it was when it was delivered!!!",Verified Purchase,2,0,0,RF2HW0ACMOU05,none
40,B01608M23I,1,5,AE73VV7EBIOW6SYGDM3HHXIVCYPQ,5 March 2017,Brilliant!,"This is fantastic,the fire is realistic,the only problem for me was putting the tents together,a bit fiddly!",Verified Purchase,3,0,0,R3G1ULQ9SALKKV,none
41,B01608M23I,1,5,AFZR726QM3KYRVBLQYU6MDIH3FVQ,5 March 2018,Very good playset.,Brilliant set. 3 year old grandson loves it. The little tents and sleeping bags give so much scope for imaginative play. We added Night Walk and Country Horseback Ride to it to make a table top layout and he plays with it continuously.,Verified Purchase,0,0,0,RUYKHOY58CO26,none
42,B01608M23I,1,5,AE6UVQXSWN2K6EG7FUVRTQDOW6LA,26 February 2018,Bought this for my granddaughter along with the summer fun biking trip and the dog walker,Bought this for my granddaughter along with the summer fun biking trip and the dog walker.  She thought they were really good and plays with them every day so far!,Verified Purchase,0,0,0,R2D5LU0YBWJ50E,none
43,B01608M23I,1,5,AFUZ5SCSQTIHJYXLOEZJS5YAZ26A,17 March 2017,Five Stars,My granddaughter was delighted.,Verified Purchase,2,0,0,R22RJVH496I4ZR,none
44,B01608M23I,1,5,AGLLVARAVRXNG2USJP6GBUJQOHNA,3 April 2018,This set is beautiful and fun!,My three year old nephew loved it! This set has a lot of pieces for hour of play. The battery-operated bonfire is lovely and mimics very well a real bonfire.,Verified Purchase,0,0,0,R3NGPTJRGOEOLT,none
45,B01608M23I,1,4,AHTQO5GQVOGDFZGRWD6D4UNSJUVA,17 August 2017,Great toy however...,This is a great toy. Very happy four year old. Unfortunately the postage label was stuck directly on the box so don't order as a surprise.,Verified Purchase,2,0,0,R3D4MNLFWWMG79,none
46,B01608M23I,1,5,AG25K2Q74JBH4T6W5CL3EYRYZANQ,13 February 2018,Playmobil camp,Kept my grand-daughter occupied for ages.,Verified Purchase,0,0,0,R2QDFGB674LMA2,none
47,B01608M23I,1,4,AE4PPGMOTTBIZ22L6LTVOMCSRYWQ,29 January 2018,pleased,pleased with purchase.,Verified Purchase,0,0,0,R1DZK56F9SXFO5,none
48,B00IF1VVFO,5,4,AHXUQJME4ZA5E5Q7XDO43TSJS3JQ,24 October 2016,Four Stars,Enjoyable addition to mu granddaughters play mobil set.,Verified Purchase,0,0,0,R2UGGLOSZ080R0,none
49,B00IF1VVFO,5,5,AFFJ474B6FIMJKEFX7GZJCB4EZDQ,26 December 2016,Cool playground,Good quality product with plastic figures. Cool playground with swings and slide for hours of fun.,Verified Purchase,0,0,0,RKIUU1TS5YTJQ,none
50,B00IF1VVFO,5,4,AERT47YYCAKKHKTKG4XCZM2JX5FA,17 January 2017,Four Stars,Generally good but too many small pices,Verified Purchase,0,0,0,R3THBHX9QP58KR,none
51,B00IF1VVFO,5,5,AFPD64YLIVKZYKNGMIE7AXKXUSLQ,7 January 2017,Five Stars,My 'autistic' granddaughter loves these toys.,Verified Purchase,0,0,0,RKI2KG5V3WJO6,none
52,B00IF1VVFO,5,5,AFOE5AEBRAHQNQCOHYGUAUPG6WQQ,11 June 2017,Five Stars,Super!,Verified Purchase,0,0,0,R3EL6W1RLH0FPL,none
53,B00IF1VVFO,5,5,AFSMZ2PB3TNXMPAOPYYDN5TACEEA,8 September 2016,100% satisfaction Top quality Easy to assemble,100% satisfaction,Verified Purchase,0,0,0,RFMMIJOPYYSVV,none
54,B00IF1VVFO,5,5,AFZ65MCOVXZ2FSQOYEPS3OJLYEIA,14 January 2016,Five Stars,"Amazing, my three year old daughter loves it and has played with it every day since christmas",Verified Purchase,0,0,0,RQJMG1SQOEXNU,none
55,B00IF1VVFO,5,5,AGR6P5SE5YEZJNNJYKDJKTWYEM7Q,8 December 2015,Super Fast Delivery,"Fab Product & Seller, Super Fast Delivery, Packaging perfect, Thank You - Highly Recommended! A*",Verified Purchase,0,0,0,R3Q5XKFCDDVTJN,none
56,B00IF1VVFO,5,5,AHSLIYHRV4DV6GWLKFK5ZVLVJYRA,28 December 2017,love,"superb, love it",Verified Purchase,0,0,0,R1IVUTVS9K0G5L,none
57,B00IF1VVFO,5,5,AH2SSPJF2LJXWSSLHB2F63YDOVDA,26 December 2016,Five Stars,Bit tricky for son in law to put together,Verified Purchase,0,0,0,RAYSGC9L4CMBZ,none
58,B00IF1VVFO,1,4,AH6H5WXDMJ6X6EA3NP6RRJT4PX3A,10 January 2018,Appropriate and Topical,"I bought this for my 2 year old granddaughter: she is now nearly four and she still loves it.  The pieces are a little fiddly, and I was disappointed that the figures could only lie-down on the swing, but it didn't concern my granddaughter.  We have since added to the park by buying additional figures and a camping set. It relates to her level of development and interests.  Some people criticise such toys because they claim they leave nothing to the child's imagination, but I disagree: my granddaughter has developed her language skills, imagination, and social skills in playing with this.  Both my children had Playmobil (and we still have many sets after 30 years) so I knew its value.",Verified Purchase,3,0,0,R30RDXI7FDDZGR,none
59,B00IF1VVFO,1,5,AEXHY2NLBCGC4DWLGYGPMGD7QXYQ,29 September 2017,great lifelike park,"This playmobil park is lovely. I love the detail on it, little flowers on the trees, squirrels and the roundabout is brilliant. The rainbow fence is so cute, even the gate has a tiny little catch on it to open and close to make it life-like. My son loves playing with it for hours, he puts his paw patrol figures down thr slide and on the swing. It is so well made and easy to put together. Well worth the money. It is fragile but not flimsy. Great for the imagination.",Verified Purchase,1,0,0,RX11ANEKWPMAH,none
60,B00IF1VVFO,1,4,AFCXO56IYJ4LKMRX3DFGRERPDR3Q,29 April 2016,"Lovely, lots included",Good value with lots included. Some of the pieces are a bit too delicate though. The black handbag strap has already broken after about 2 days and the little girls hand bag strap is far too thin and delecate to stay in place and will be lost in no time as it keeps falling off. Would still recommend however as it's a lovely set for imaginative children.,Verified Purchase,3,0,0,R373XYIMLSVPRN,none
61,B00IF1VVFO,1,5,AGBJL5OVR74WNMI67WUSK4AZ23LA,16 January 2016,A great success with a two year old!,Wanted something a bit different for granddaughter's 2nd birthday: all I can say is that she absoluitely loves it to the extent her mother has spent all her birthday money on further Playmobil stuff to go with it!,Verified Purchase,3,0,0,R13JOBU2LJKZLG,TOP 500 REVIEWER
62,B00IF1VVFO,1,5,AFHJYPDBX72V4YXY6JVDESC66RQQ,2 April 2016,Lovely little park set my 4 year old loves it.,My little girl loved this park set for her Playmobil it was really colourful and bright and had lots of little accessories she really enjoys playing with it. It's quite fiddly to put together but once you get the hang of it it's easily done. The item arrived really quickly and was very well packaged.,Verified Purchase,3,0,0,R1PDV14BWSXBY5,none
63,B00IF1VVFO,1,5,AGUI7MAB7N43KGVXXMSMZPJMNHCA,30 October 2016,Inspiring,Our grand-daughter is thrilled with this toy and loves to play with it. It enhances her use of her imagination and leads her to create 'conversations' between the toy people as they use the toy playground. She can also use it alongside other Playmobil items. Great!,Verified Purchase,3,0,0,R12IQUUG64PAUG,none
64,B00IF1VVFO,1,5,AGAJUYRCSJEZ3NVSLYB6MS5GYY3A,30 April 2018,lots of fun elements to play with,lots of fun elements to play with. Took daddy a little time to put together but nothing strange. Fits well with other Playmobil sets we have and has bene played with a lot.,Verified Purchase,0,0,0,R2KN40XZHSJW5D,none
65,B00IF1VVFO,1,5,AFW45ZGI2RD5EDWOZKQAARXWEBJA,11 November 2015,Hours of fun,"My 3 year old and 6 year old both love this. I like the detail- the nest with eggs in the free and the pregnant mom, my 6 year old notices these. It took me a while to build it (with an impatient 3 year old *helping* me) but once built its very sturdy. You get 5 people with it and they can hold onto the roundabout so they don't fall off when it's spinning :)",Verified Purchase,2,0,0,R3RF3UHWIJYPG9,none
66,B00IF1VVFO,1,5,AGGHJHEDNPXWC5I6J6OB4LFMTOAA,23 December 2017,Great toy recommend,The toy is ok for my three and a half year old daughter's subject are perfect size not too big not too small I recommend my daughter like playing with the slides :),Verified Purchase,0,0,0,R1OF6O0JAMKFOO,none
67,B00IF1VVFO,1,5,AFYKF7H3SEQEB5MMIJHTGLPBKM5Q,27 May 2017,Hurrah for Playmobile,Excellent. My granddaughter will love this as she like most 4 year olds has a wonderful imagination and the park will come into it own when she plays with it,Verified Purchase,0,0,0,R3OA4DWUDWGM39,none
68,B00IF1VVFO,6,5,AH7KZM3A4TRH5MJGUFVL6XYG2K2A,23 May 2017,"it became one of my childs favorite toys, she has spent hours and hours playing","Absolutely nothing to complain about, it became one of my childs favorite toys, she has spent hours and hours playing.",Verified Purchase,0,0,0,R349I7JY8FFGG6,none
69,B00IF1VVFO,6,5,AHBBVN35WOQ5XUUQRQHRCUMYIIPQ,4 December 2015,fantastic,My 4 year old loves it! Spends hours playing with it as does her 2 year old brother,Verified Purchase,0,0,0,R3HDAD2EO3COZU,none
70,B00IF1VVFO,6,5,AHVI4WSTHH5372B6IZF3HR4OFVJA,1 December 2016,Five Stars,Excellent product - colourful and imaginative for children to enjoy,Verified Purchase,0,0,0,R1PLFIEO9ZKZ18,none
71,B00IF1VVFO,6,5,AGHCXB4XUAO252IIJREQNMMAOLQA,20 November 2014,Playmobil  playground,This is a lovely toy to play with.My granddaughter loves it and enjoys it very much.,Verified Purchase,1,0,0,R24CM01SK8ZO0M,none
72,B00IF1VVFO,6,5,AH7RO4FIIAR6KF5PV2TZZNTPOOLQ,4 April 2018,Five Stars,We had lots of fun setting it up - a great item,Verified Purchase,0,0,0,R3DRNUW2FMPOWK,none
73,B00IF1VVFO,6,5,AH4F3HY5MXAE4B622MF6BB4DKEVQ,11 March 2018,Great,Great item,Verified Purchase,0,0,0,RO6OR2LLCI92H,none
74,B00IF1VVFO,6,5,AFYJ7QWIQLNHRNEG4Y6MRGJKYWNQ,17 September 2016,Five Stars,no problems prompt delivery,Verified Purchase,0,0,0,RLD338HM8HWDG,none
75,B00IF1VVFO,6,5,AGOMFGRWAT6VWHWTGUWOM7WKCZQA,3 September 2015,Great Playmobil,Fast delivery. My 4 year old god child loved it. Great item for children to play with.,Verified Purchase,0,0,0,R1JZCIK74DN0LX,none
76,B00IF1VVFO,6,4,AHDNP4WE3HOQ5FFF7PR5OLF3NAGQ,19 October 2016,Great toy,My grandson loved the playmobil but I was not impressed by the non existent packaging,Verified Purchase,0,0,0,R3LC41XV28DEIJ,none
77,B00IF1VVFO,6,5,AH3JEBAOCI7P26BKM5OTK5WYACIA,24 October 2015,Five Stars,"Kids love it! As always with playmobil, excellent quality and easy enough to assemble.",Verified Purchase,0,0,0,RWGKNRQAT93JB,none
78,B00IF1VVFO,11,5,AFKZEDTE6TT7G2FLHHH3HSCZBLAQ,13 July 2015,price very good.,"This item was exactly as expected, arrived very promptly, price very good.",Verified Purchase,0,0,0,R3RIKRAOCALC65,none
79,B00IF1VVFO,11,5,AHTDHQQ6VGUMUSY547XM6ZRYSUEA,24 November 2015,Five Stars,great,Verified Purchase,0,0,0,R3OCN32WXBPA1M,none
80,B00IF1VVFO,11,5,AEF4YWUMTLSS3T3WCM4YMCGEG77A,10 January 2018,Five Stars,Item was as advertised and arrived earlier than anticipated.,Verified Purchase,0,0,0,R12EROPI7IFZEO,none
81,B00IF1VVFO,11,5,AEARFXVY3MQT73UTKOA6N4HL2R2Q,30 October 2017,Five Stars,Excellent,Verified Purchase,0,0,0,R32ESC0PX1N5HZ,none
82,B00IF1VVFO,11,5,AEBL62W23V7H6BB6OCQUOR73KI5A,24 November 2017,Five Stars,Fantastic! Impressed with how big it is!!!,Verified Purchase,0,0,0,R2ZBMI7TU6D4HW,none
83,B00IF1VVFO,11,5,AHUXQTK5ZOAF2EDV6BY3PRIG5DIQ,10 January 2015,Successful present,Granddaughter was delighted with this. Lots of imaginative play possible with the various items.,Verified Purchase,1,0,0,R296O6YXCY275T,none
84,B00IF1VVFO,11,5,AFE7NPDEMTXE3XERYQ27GQCCI2DA,14 December 2016,Granddaughter will love it,"Arrived on time, is good value for money & will be a good addition to my granddaughters collection of playmobil",Verified Purchase,0,0,0,R1NBSF67WM1PD2,none
85,B00IF1VVFO,11,5,AHPZG6PSLDSR3YCFMP3SDZXST5KQ,29 December 2015,Playmobil - great value toy!,"Lovely set, bought for a 3 year old. Instant play as she can relate to it - we've put the small pieces away for when she's a bit older!",Verified Purchase,0,0,0,R1WT0POTW5641Q,none
86,B00IF1VVFO,11,5,AHUXYLEOBIB5XRLDDN6EETCZWXMA,17 November 2016,Five Stars,Excellent,Verified Purchase,0,0,0,R2SDJX754ZW2WP,none
87,B00IF1VVFO,11,5,AEMZVTZFTWFPGSZOM43GIZSDUQVQ,13 January 2016,Five Stars,perfect thank you,Verified Purchase,0,0,0,R193F9USBG64F7,none
88,B00IF1VVFO,9,5,AGFSYWPNX4XOFTWRW6DQ64FBV5IQ,27 September 2015,Perfect present for a child,This was for a grandchild - it was a hit,Verified Purchase,0,0,0,R2G98JXA8L29ON,none
89,B00IF1VVFO,9,5,AHHU4GNYMKDNXQGYBSMJDA47LATQ,31 October 2015,Good quality. My daughter loves it,Good quality.  My daughter loves it,Verified Purchase,0,0,0,R1XFCT8ARGK91U,none
90,B00IF1VVFO,9,5,AGUVO7E7SY7AXRSKDJGA7WS7VFMQ,20 June 2016,Five Stars,Great for 3 year old and imaginative play.,Verified Purchase,0,0,0,R1NR81YTJTT9F7,none
91,B00IF1VVFO,9,5,AHUPXFZ35BRUBFNSQF3UZPIIDGYQ,13 January 2016,Five Stars,My 6 year old loved this!,Verified Purchase,0,0,0,RIY7QQNB1GPGG,none
92,B00IF1VVFO,9,5,AFX2QYT2GNOY4NPU5AVQP7UPZ5DQ,15 February 2016,Five Stars,Excellent,Verified Purchase,0,0,0,RQJCSAHQKOBHR,none
93,B00IF1VVFO,9,5,AGGGHNMB7J6OWYK2Q2Y7LDY3VCBA,1 May 2017,Five Stars,My daughter loves it!,Verified Purchase,0,0,0,R26JOX0B62EXNK,none
94,B00IF1VVFO,9,5,AEN3SLG3XTYH3OKLKPXKMPC74SNA,6 January 2016,Five Stars,Educational,Verified Purchase,0,0,0,R1VHUCQZ1GQOLH,none
95,B00IF1VVFO,9,5,AHDX2DERBM5JCAEEVFYVGQGPC43A,22 January 2016,Five Stars,"brilliant product,great price",Verified Purchase,0,0,0,R1K6OU8XT3MCRF,none
96,B00IF1VVFO,9,4,AH4NX42XC3XHSMX4GM5QFAYD4WDA,2 February 2016,Four Stars,great,Verified Purchase,0,0,0,R3CUY6VPNG55RV,none
97,B00IF1VVFO,9,5,AHE4D7ZGEK4SBBFW57VPPRIGY6MQ,1 January 2016,Five Stars,Great set!,Verified Purchase,0,0,0,RDF2KZ0H1ZC5E,none
98,B00IF1VVFO,17,4,AHLDWO3J7QF2LRT3Y2QXFSMKC2HQ,22 November 2015,Preschool Playground,"This Playmobil pre-school playground is a good playset from Playmobil, although we generally found it wasn't as robust as we have come to expect from the brand.  Whilst we have lots of Playmobil stuff, I’m pretty sure this is the first product that we’ve had from the City Life range.  It's a bright and colourful set with a very good range of nicely detailed characters and accessory pieces included: There’s the main adventure play area, with a cargo net, ladder, slide, working cradle swing, rocking horse and round-a-bout, a bench seat, shrub, tree (with squirrels, birds and a bird’s nest) and five characters.  Amongst the characters there are two ladies (one of which is with child) and three young children.  Like all Playmobil stuff it requires a fair bit of assembly.  My 8 year old managed this fairly quickly even with his younger brother excitedly trying to help.  There are a lot of smaller pieces with this set - hence the 4-10 age range.  It also comes apart easier than any Playmobil set I can remember, although everything does pop and twist back into place.  I’ve been on my hands and knees several time trying to find the blue and yellow balls that fit on the top of the main play area, and too much pressure on the cradle swing has caused the side of it to collapse on more that one occasion.  Still it’s a good value set for it’s current price of under twenty pounds, and there’s lots of imaginative play possibilities here.",0,7,0,0,RMA6CMBEJXBC7,VINE VOICE
99,B00IF1VVFO,17,4,AGU6KRGSPKOT4Z5BVX64GEHR5U5A,14 February 2016,Ok a couple of miss details,My playmobil city life park was bought for about £25 a couple of missed details above the swing they had built it as though there was going to be a bridge. Over all a good item from playmobil,0,0,0,0,R3KER2FD09NZBX,none
100,B00IF1VVFO,4,5,AEZ4XTW5FDGJXRLOF5ATOR7TXSVQ,8 December 2017,Five Stars,Excellent,Verified Purchase,0,0,0,R3GV18NOJDNW3,none
101,B00IF1VVFO,4,5,AGMYMBSCP5YE2IHSODGUDQ4WHXZA,22 July 2016,Very pleased,I bought this City Life Preschool set for my 4 year old granddaughter together with the Summer Fun Water Park Summer Camper. She loved these presents and now wants rpto start a collection.,Verified Purchase,0,0,0,R1S1R1G476G4IE,none
102,B00IF1VVFO,4,5,AHHM3BIC6NI7AJFINWKNVLEZKDUQ,24 November 2017,Lovely,I bought this for my almost 2. Year old for Christmas it's a lovely set but I think I will keep the smaller parts in the box until his a little older,Verified Purchase,0,0,0,R1IF3YSEYF1XCH,none
103,B00IF1VVFO,4,5,AGZ55HX6EMLXXLFI5GJBKF4WD4HA,13 November 2017,Five Stars,Very good,Verified Purchase,0,0,0,RBXDW7WRRABPJ,none
104,B00IF1VVFO,4,4,AFQ4FHYWZGWWR2SOPPLVM6U4J6NQ,4 November 2017,Top Quality,Usual high quality product expected from Playmobil.,Verified Purchase,0,0,0,R1SWEV3Q3YNZ5K,none
105,B00IF1VVFO,4,5,AHQJ54K6UEHDWMGRFZ4LKWFVLKPA,19 August 2017,playmobil,Childen love it,Verified Purchase,0,0,0,R1JIRI1LINDC9E,none
106,B00IF1VVFO,4,5,AHGTAITLL7JNP7TSWDRB4NSTFFNQ,4 March 2017,Toy,My 2 year old granddaughter loves this present,Verified Purchase,0,0,0,R2UWX203JR9NST,none
107,B00IF1VVFO,4,5,AF6DBWLKLWYR6FVHNFZQXDVPOTOQ,16 July 2017,Five Stars,great item and I got best price around,Verified Purchase,0,0,0,R22J1X08BO8DVX,none
108,B00IF1VVFO,4,5,AFLHIISIDSCBOMR6RUUCWEGSEBXQ,21 February 2016,we love playmobile,"Nice detailing, some more fence would be good and the end post with the ladders (far left) is a little wobbly, but those minor things aside its great!",Verified Purchase,0,0,0,R1RLHKIOUCCFYQ,none
109,B00IF1VVFO,4,5,AG7RKFYP5X5IPYVVV2SARUPC4KOA,20 September 2016,Five Stars,"Great, all went together nicely and has been a great toy already.",Verified Purchase,0,0,0,R3ACLRZ6ER8HSM,none
